Subsystem 3	ERR1398068	ERR1398076	ERR1398077	ERR1398085	ERR1398168	ERR1398221	ERR1398078	ERR1398089	ERR1398129	ERR1398206	ERR1398257	ERR1398263
Proteasome bacterial	22.95757576	15.66666667	14.30952381	11.08333333	22.95757576	34.66666667	18.91666667	19.91666667	6.583333333	17.66666667	8.583333333	18.25
Protection from Reactive Oxygen Species	7.541666667	13.30555556	12.47222222	8.416666667	7.541666667	16.16666667	9.166666667	12.9	5.658823529	15.08333333	6.125	10.53333333
Protein Acetylation and Deacetylation in Bacteria	4.25952381	2.119047619	1.666666667	1.30952381	4.25952381	0	0.5	1.5	0.5	1.666666667	3	0.142857143
Protein chaperones	236.9546398	237.3742424	207.7742063	130.5956349	236.9546398	346.5242424	192.0404151	192.3948773	99.37106782	245.8123016	149.2674964	213.655267
Protein degradation	171.4178571	150.0909091	125.3884921	131.5238095	171.4178571	220.3125	160.1964286	123.0761905	86.34285714	176.5333333	103.9861111	162.8071429
Protein secretion by ABC-type exporters	0	0	0	0	0	0	0	0	0	1	0	0
"Proteolysis in bacteria, ATP-dependent"	358.9149933	333.4575758	313.6960317	214.8138889	358.9149933	569.1893218	328.9308913	304.011544	204.3532107	388.1027778	270.3111472	372.3286436
Proteorhodopsin	1	0.2	2.033333333	1	1	0.25	0	1	0	1.25	0	0.333333333
Protocatechuate branch of beta-ketoadipate pathway	59.66666667	33.42424242	51.58333333	20.66666667	59.66666667	68	44.66666667	50.27777778	23.66666667	46.90277778	25	51.44444444
Proton-dependent Peptide Transporters	33.5	21	30.5	33	33.5	40	17	18	7	44	26.5	44
Pseudaminic Acid Biosynthesis	0	0	0	0	0	0	0	1	0	1	0	1
Pseudomonas quinolone signal PQS	0	0	0	0	0	0	0	1	0	0	0	0
Pseudouridine Metabolism	52.33333333	35	22	11	52.33333333	38	17.33333333	22	4.5	25.5	8.5	15.5
Pterin biosynthesis	0	1	0	0	0	0	0	0	0	0	0	0
Pterin carbinolamine dehydratase	0.583333333	0.25	2.083333333	0.333333333	0.583333333	0.5	0.25	0.583333333	0.444444444	0.726190476	0.5	0.333333333
Pterin metabolism	0	0	0	0	0	0	0	0	1	0	0	0
Pterin metabolism 3	5.95	6.076190476	5.5	2.283333333	5.95	1.833333333	2.45	6.166666667	0.894444444	5.88452381	2.45	6.533333333
Purine Utilization	287.5730159	275.3666667	251.8742063	247.4107143	287.5730159	362.5333333	226.3956349	216.8221362	236.05	283.7690476	239.1530886	290.4538462
Purine conversions	612.2690837	569.4333333	527.9968254	357.5113858	612.2690837	848.6880952	532.7452381	521.1206349	310.1623016	591.1857143	381.2211112	559.1436508
Purine nucleotide synthesis regulator	2	2	2	1	2	1	2	1	0	1	0	3
Putative TldE-TldD proteolytic complex	14.5	13	10.5	10	14.5	17.33333333	12.5	13.7	4.333333333	14.33333333	8.5	15.5
Putative diaminopropionate ammonia-lyase cluster	3.761904762	5.666666667	14.86666667	7.633333333	3.761904762	1	5	4	1.8	8	11.56666667	4
Putative hemin transporter	58.74166667	49.80119048	61.56230159	39.33333333	58.74166667	59.54166667	60.34285714	76.61666667	32.16666667	52.54563492	50.95833333	68.20833333
Putative oxidase COG2907	5	11	7	8	5	2	10	16	2	6	9	10
Putative sugar ABC transporter (ytf cluster)	6.833333333	17.16666667	13.2	14.66666667	6.833333333	10	15.58333333	19.86666667	4.555555556	11.23333333	5.8	11.66666667
Putrescine utilization pathways	11.5	23	16	3	11.5	7	6	15.33333333	5	9	6.5	10
Pyridoxin (Vitamin B6) Biosynthesis	141.9954115	126.4956349	127.9470238	75.20311355	141.9954115	198.2625	119.5168651	118.9535104	73.00734127	134.2290043	74.30104428	130.0465219
Pyrimidine utilization	8.5	27.83333333	16.83333333	4.833333333	8.5	5	4	23.5	8.5	12	6.5	9.5
Pyrroloquinoline Quinone biosynthesis	0	1	1.833333333	0	0	0	0	1.833333333	0	0	0	2.333333333
Pyruvate Alanine Serine Interconversions	114.6595238	127.9345238	99.46666667	59.6	114.6595238	163.6	109.35	108.3690476	61.79166667	121.1166667	57.81666667	98.43333333
"Pyruvate metabolism I: anaplerotic reactions, PEP"	333.0849317	306.3095238	254.0946789	138.1191558	333.0849317	496.2083333	264.8456349	263.7801587	139.2639823	333.127381	155.0873127	287.8130342
"Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate"	161.7861472	138.525	133.9793651	99.20479798	161.7861472	198.8134921	129.9425325	136.3603896	84.7202381	155.9761905	94.99920635	164.9309524
Pyruvate:ferredoxin oxidoreductase	147.7333333	107	104.8583333	61.28333333	147.7333333	188.45	100.2833333	95.53333333	49.75	120.45	65.7	121.4833333
Q RZ	8.5	10.5	10.08333333	6.083333333	8.5	20.91666667	11.08333333	9.75	9.416666667	15.5	7.25	6.583333333
Queuosine exploration RZ	149.1333333	147.5166667	135.5416667	115.7678571	149.1333333	222.1083333	134.1666667	106.6928571	83.15	169.1416667	99.37997835	169.8333333
Queuosine-Archaeosine Biosynthesis	93.38333333	83.18333333	82.375	86.10119048	93.38333333	125.6083333	89.58333333	77.02619048	52.65	99.30833333	74.85833333	102.8333333
Quinate degradation	8.833333333	10.83333333	7.666666667	9	8.833333333	10.4	7.333333333	16.06666667	4.5	10.66666667	11.5	16.5
Quinol oxidases in plants (mitochondrial)	0	1	0	0	0	0	0	0	0	0	0	0
Quinone disambuiguation	4.392857143	6.333333333	5.166666667	2.833333333	4.392857143	5.166666667	5.583333333	5.916666667	3.416666667	8.75	3.277777778	6.333333333
Quinone oxidoreductase family	4.30952381	3.5	5.5	2	4.30952381	0	3.25	6.5	0	2.166666667	1.545454545	5
Quorum sensing in Yersinia	0	3	0	0	0	1	1	2	1	0	1	1
RCJ pfr	253.6178571	221.1666667	211.9373016	133.9568182	253.6178571	370.2083333	204.6202381	206.7833333	133.7595238	251.7595238	167.3051587	235.5020202
RNA 3'-terminal phosphate cyclase	10.75	6.833333333	7.75	4.166666667	10.75	7.583333333	2.833333333	5.416666667	7.75	5.333333333	6.833333333	5.75
RNA polymerase bacterial	274.5	273.5	219.1666667	134.1666667	274.5	422.8333333	232.5	261.8333333	136.5	299.5333333	155.5	308.1666667
RNA polymerase chloroplast	0	0	1	4	0	0	0	0	0	0	0	0
"RNA processing and degradation, bacterial"	108.2857143	119.1666667	105.2651154	107.8011905	108.2857143	175.65	135.5833333	127.3935897	70.04166667	129.2	113.2416667	135.3345238
RNA processing orphans	1.5	1.5	2	0	1.5	0	0	1.5	0.5	0	0	2
RNA pseudouridine syntheses	17.41666667	31.66666667	21.86666667	12.58333333	17.41666667	32.98333333	27.08333333	34.16666667	12.5	23.41666667	17.83333333	24.33333333
RP Bacterial Cell Division	302.7258408	284.9428571	272.2120171	176.766256	302.7258408	431.6462302	284.0015696	272.6292791	181.1959707	325.7477273	219.1284965	292.7818543
Raj MurE	122.2333333	98.36666667	119.6	96.28333333	122.2333333	145.55	96.03333333	81.73333333	86.15	125.0666667	87.08333333	125.6416667
Rcs negative regulator IgaA	1.666666667	10.91666667	12.33333333	2.666666667	1.666666667	0	8	13.33333333	0	4.333333333	1.666666667	9.916666667
Rcs phosphorelay signal transduction pathway	5	11	15	4	5	6	5.5	16.5	1.428571429	6	3	11
RecA and RecX	5.833333333	6.033333333	1.5	2.366666667	5.833333333	8.083333333	4.75	7.5	0.666666667	6.616666667	6.5	7.4
Recycling of Peptidoglycan Amino Acids	104.6666667	87	85.25	66.66666667	104.6666667	135.75	83.83333333	84.33333333	46.75	114.25	72.08333333	111.875
Recycling of Peptidoglycan Amino Sugars	11	19.33333333	8.5	7	11	11	12	13.5	6	10.5	8.5	15.5
Redox-dependent regulation of nucleus processes	76.2952381	57.64920635	60.70119048	51.45238095	76.2952381	109.3511905	70.98333333	61.1452381	43.33333333	74.4452381	41.71190476	67.91587302
Regulation of Oxidative Stress Response	1.375	8.347222222	4.972222222	2.25	1.375	2.833333333	6.5	10.83333333	0.058823529	2	1.125	7.533333333
Regulatory Intramembrane Proteolysis Pathways	0	0	1	0	0	0	0	0	0	0	0	1
Resistance to Vancomycin	30	18	37	39	30	28	35.33333333	36	41	20	38	33
Resistance to chromium compounds	0	1	0	0	0	1	0	4	1	0	1	2
Resistance to fluoroquinolones	209.5074176	193.4333333	166.4673132	103.7579476	209.5074176	319.1718254	166.0409774	164.5176962	98.64805195	215.6199856	102.9750361	203.9604618
Respiration / HGM	134.0684885	156.4623016	127.0035714	57.06108614	134.0684885	207.6261905	118.4253968	93.08730159	97.33293651	141.8289683	94.18253968	116.8706349
Respiration / Human gut microbiome	176.1029762	174.2956349	132.6702381	64.20394328	176.1029762	253.3595238	143.968254	108.1706349	95.49960317	156.1623016	96.27142857	124.4456349
Respiratory Complex I	96.19090909	112	101	71.33333333	96.19090909	170.6428571	91.66666667	75	41.16666667	126	35.16666667	105.5
Respiratory complex I in plants (mitochondrial)	1	0	3.5	4	1	1	2	0	0	0	0	0
Respiratory complex I in plants (plastidial) and cyanobacteria	0	0	2	1	0	0	1	0	0	0	0	0
Respiratory complex III (cytochrome b-c1) in plants	0	0	0	0.5	0	0	0	0	0	0	0	0
Respiratory complex IV (terminal cytochrome c oxidase) in plants	1	0	0	0	1	0	0.5	0	0	0	1	1.5
Respiratory dehydrogenases 1	166.8333333	120.2916667	109.6705128	88.5202381	166.8333333	217.8333333	118.2371795	137.1261905	61.58836996	141.25	97.41336996	129.5928571
Restriction-Modification System	248.4777778	126.5	193.6071429	179.4166667	248.4777778	394.8333333	223	154.9583333	97.31111111	239.45	173.463925	290.6833333
Rhamnose containing glycans	255.2833333	173.25	208.2	204.1190476	255.2833333	329.5277778	208.8190476	187.5	116.0119048	273.75	210.3246753	313.3190476
"Riboflavin, FMN and FAD metabolism Extended"	592.5833333	353.8690476	445.4666667	338.8666667	592.5833333	677.5166667	524.6166667	511.65	292.6333333	505.7833333	319.8333333	527.4166667
Ribonuclease H	56.66666667	55.5	49.83333333	29.5	56.66666667	77.5	60.16666667	57.66666667	35.5	68	38.33333333	51
Ribonucleotide reduction	296.6611111	250.9333333	269.9768218	186.8884921	296.6611111	389.2	291.7736111	242.7555556	153.0458333	267.8777778	186.3956349	272.0746392
Ribosomal protein S12p Asp methylthiotransferase	60.2	62.64166667	55.75	36.56666667	60.2	109.0666667	61.65952381	53.76666667	33.23333333	60.65	40.48333333	58.53333333
Ribosomal protein S5p acylation	26.33333333	15.66666667	22.5	13.16666667	26.33333333	26.16666667	16.66666667	15.66666667	7.833333333	25.33333333	13.66666667	26.5
"Ribosomal proteins, zinc requirement"	37	11.83333333	30.08333333	20.83333333	37	42.66666667	29.5	17.83333333	9.333333333	24.5	19.83333333	26.33333333
Ribosome LSU bacterial	357.75	283.4166667	307.8333333	188.1666667	357.75	492.6666667	253.3333333	263.0833333	111.3333333	327.8333333	172.1666667	379.5
Ribosome LSU eukaryotic and archaeal	0	0	13	0	0	1	1	0	0	0	22	3
Ribosome SSU bacterial	279.9761905	221.5833333	241.8928571	124.3095238	279.9761905	407.0833333	195.5	185.5833333	98.89285714	278	94.04166667	268.5
Ribosome SSU chloroplast	0	0	0	0	0	0	1	0	0	0	0	0
Ribosome SSU eukaryotic and archaeal	1	4	12	0	1	3	0	0	0	0	20	1
Ribosome activity modulation	18	14	11	13	18	11	22	18	1	15	15	19
Ribosome biogenesis bacterial	283.4261905	270.5392857	249.4563492	160.5214286	283.4261905	381.5904762	270.7178571	241.8369048	123.7571429	262.7134921	198.3369048	295.2857143
RpoS Regulators SG1	5	9	8.666666667	8	5	13	8.25	8	5	5	8	10
Rrf2 family transcriptional regulators	24.16666667	15.58333333	22.75	21.5	24.16666667	26	22.08333333	25.25	7.833333333	15.33333333	29.91666667	21.91666667
RtcB RtcA	40.15162338	29.2968254	29.98888889	19.9984127	40.15162338	45.62619048	30.68333333	28.15277778	29.13452381	33.80277778	14.13611111	26.26432179
Rubrerythrin	83	48	55.08333333	37.08333333	83	109.0833333	59.66666667	54.33333333	33.25	66.5	47.25	66.5
RuvABC plus a hypothetical	86.35	100.6333333	77.55	37.58333333	86.35	161.6333333	82.43333333	89.86666667	50.01666667	106.75	39	75.8
SCIFF peptide maturase system	39	21	33	31	39	64	48	43	20	50	37	43
Salicylate and gentisate catabolism	17.78333333	15	15.01666667	13.53333333	17.78333333	24.5	15.25	13.4	8.5	20.11666667	6.033333333	16.58333333
Salicylate ester degradation	0	1.166666667	0.5	0	0	0	0.5	1	0	0	0	0.5
Salmochelin-mediated Iron Acquisition	0	4	0	0	0	0	0	2	0	5	0	4
Salmonella invasion locus	0	0	0	1	0	0	0	0	0	0	1	0
"Sarcosine oxidases, monomeric and heterotetrameric"	0.424242424	0	0	0	0.424242424	0	0	0	0	0.333333333	0	0
Sarcosine temp	0.424242424	0	0	0	0.424242424	0	0	0	0	0.333333333	0	0
SecY2-SecA2 Specialized Transport System	0	0	0	1	0	1	0	0	0	0	0	0
Selenocysteine metabolism	52.35995671	52.15	45.8	39.14015152	52.35995671	48.75	55.06666667	44.61904762	42.18571429	41.5	48.61904762	47.86904762
Selenoprotein O	2	2	2	1	2	0	2	1.5	0	0	1.5	0.5
SeqA and Co-occurring Genes	3.25	9	6	2.333333333	3.25	1	4	10	0	2	1	2
Serine Biosynthesis	66.38654401	87.96666667	72.77063492	46.16666667	66.38654401	125.4111111	82.91785714	64.30277778	47.01111111	84.8702381	42.19444444	74.98333333
Serine-glyoxylate cycle	225.6801338	128.7806313	196.590812	175.5046351	225.6801338	280.081746	184.5131627	206.4706349	116.5580299	198.4893218	169.5759019	244.1131313
Serotype determining Capsular polysaccharide biosynthesis in Staphylococcus	16	10	14	8	16	25	9	3	1	18	6	15
Sex pheromones in Enterococcus faecalis and other Firmicutes	17	24	17.83333333	24.25	17	33.5	22.66666667	23.33333333	24.75	20.83333333	18	28.5
Sialic Acid Metabolism	303.9869048	264.1166667	299.8345238	250.7285714	303.9869048	378.5511905	318.322558	265.3797009	180.875	311.997619	235.0487845	298.211544
Siderophore Achromobactin	0	1	1	0	0	0	4	1	0	0	0	1
Siderophore Aerobactin	5.75	11.83333333	8.333333333	2.25	5.75	0	5	16.83333333	0	5.5	2.875	3.5
Siderophore Enterobactin	27.1	57.5	29.83333333	4.5	27.1	0	16	52.83333333	0.5	8.5	9.333333333	16
Siderophore Pyoverdine	15	2	0	0	15	1	1	1	0	2	1	0
Siderophore Yersiniabactin Biosynthesis	9.166666667	17.75	15.5	6	9.166666667	0	0	1	3	16	7.5	12
Siderophore assembly kit	5.916666667	20.61666667	17.75	4.75	5.916666667	0	8.333333333	25.16666667	1	7	10.16666667	8.833333333
Siderophore pyochelin	2	0	0	0	2	0	0	0	0	0	0	0
SigmaB stress responce regulation	53.66666667	43.33333333	44.33333333	37.16666667	53.66666667	57.66666667	42.16666667	44.83333333	45	53.16666667	36	53.5
Signal peptidase	43.16666667	34	40.16666667	41.16666667	43.16666667	86.5	43.16666667	28.5	25.66666667	59.33333333	40.83333333	56.66666667
Single-Rhodanese-domain proteins	1.833333333	1.5	6.5	1.5	1.833333333	0	0.333333333	3.666666667	0	0.333333333	1.333333333	3.833333333
Single-copy ribosomal proteins	318.5833333	191	253.6666667	184.75	318.5833333	401.8333333	246.5	253.4166667	109.5833333	318.8333333	207.5833333	356.5
Small acid-soluble spore proteins	30	16	23	16	30	35	28	26	17	21	30	22
Small multidrug resistance strays	1	2	2	0	1	2	0	1	0	0	1	0
Sodium Hydrogen Antiporter	1	0	0	0	1	0	0	0	0	1	0	0
Soluble cytochromes and functionally related electron carriers	144.5833333	116.6666667	106.1166667	86.53333333	144.5833333	206.75	124.1666667	114.9833333	73.03333333	129.9166667	86.78333333	136.5
Soluble electron carriers in plants	0	0	0	0	0	1	2	0	0	0	0	0
Sortase	41.5	29	32.5	34	41.5	34.5	37	31.5	15	42.5	43.5	33.5
Sphingolipid biosynthesis	0.5	0	0.5	0.5	0.5	0	0	0.5	0.333333333	0.333333333	0	0.5
SpoVS protein family	2	1	1	0.25	2	2	0.5	2.5	3	0	1	3
Spore Core Dehydration	32	26	47	26	32	71	61	48	28	36	25	37
Spore germination	10	10	9	6	10	19	10	11	11	9	2	8
Sporulation Cluster	9	1	3.666666667	6.95	9	7.833333333	8.616666667	2.083333333	2.583333333	4.583333333	13.16666667	3.083333333
Sporulation Cluster III A	5.5	2.333333333	10.83333333	14.25	5.5	5	10.5	7	12.16666667	6.333333333	16	10.83333333
Sporulation draft	0.5	0.5	0	2.5	0.5	2	2	1.5	0	0	1	2.5
Sporulation gene orphans	228.6666667	156.9166667	218.8333333	107.9166667	228.6666667	327.1666667	178.6666667	199.3333333	142.6666667	169	125	186
Sporulation-associated proteins with broader functions	58	29.83333333	52	31.25	58	47.83333333	43.66666667	66.16666667	24.83333333	50.66666667	30.16666667	46.33333333
Sporulation-related Hypotheticals	29	9.833333333	21.83333333	28.5	29	40.66666667	38.16666667	28.16666667	24	16.66666667	39.5	25.5
Staphylococcal pathogenicity islands SaPI	63.83333333	53.56666667	72.61666667	59.1	63.83333333	104.1166667	53.33333333	64.26666667	23.03333333	59.7	62.65	76.48333333
Staphylococcal phi-Mu50B-like prophages	16	21.33333333	17.25	12.5	16	24	16.25	14.58333333	11.83333333	20.5	7.583333333	21
Steroid sulfates	19.6	11.66666667	18.45833333	19.11428571	19.6	35.9	15.36025641	9.166666667	6.5	25.26666667	11.33333333	29.47424242
Streptococcal Hyaluronic Acid Capsule	46.83333333	34	27.33333333	22	46.83333333	49	32.83333333	29.5	7	38	30	31
Streptococcus agalactiae virulome	0	0	0	1	0	0	1	0.5	0	1	1	1
Streptococcus pneumoniae Vancomycin Tolerance Locus	9	2	4	15	9	11	21	4	3	5	18	5
Streptococcus pyogenes Virulome	0	0	0	1.4	0	0	0	0	0	0	0.2	0
Streptococcus pyogenes recombinatorial zone	33	48	36	21	33	42	34	30	22.5	35	19	34
Streptolysin S Biosynthesis and Transport	1	0	2	1	1	1	1	0	0	0	0	0
Streptothricin resistance	0	2	0	0	0	4	3	0	1	4	1	2
"Stringent Response, (p)ppGpp metabolism"	82.28690476	79.23571429	83.4004329	62.95555556	82.28690476	126.1297619	63.5265873	73.40952381	51.76388889	103.4190476	60.56118326	95.96865079
Suberin biosynthesis in plants	0	0	0	0	0	1	0	0	0	0	0	0
Succinate dehydrogenase	73.6468254	116.5900794	87.97738095	31.22695915	73.6468254	106.0166667	81.14206349	36.97063492	73.95	92.61230159	42.95396825	51.10277778
Sucrose metabolism in plants	0	0	0	0	0	0	0.25	0	0	0	0	0
Sucrose utilization	139.3333333	104.8333333	137.7	131.9166667	139.3333333	176.9166667	179.9166667	113.7	71.2	130.4261905	169.0333333	185.0595238
Sucrose-specific PTS	0	0	0	1	0	0	0	0	0	0	0	0
Sugar utilization in Thermotogales	13.45833333	7.166666667	12.27777778	4.444444444	13.45833333	22.125	14.11111111	8.866666667	5.166666667	19.17619048	5.166666667	11.33333333
Sugar-phosphate stress regulation	5	6	5	5	5	0	1	8	0	1	1	1
Sulfatases and sulfatase modifying factor 1	1	1.5	3.5	1.5	1	2.5	1.75	5.5	0.333333333	1.25	0.5	2.083333333
Sulfate reduction-associated complexes	1.5	5.166666667	0	0.5	1.5	10.5	0.5	1	0	0.5	0	0
Sulfur oxidation	0.583333333	0.5	0.916666667	0.666666667	0.583333333	0.75	0.5	0.75	2.033333333	1	0.333333333	0.25
Synechocystis experimental	14.33333333	12.5	18.5	14.36666667	14.33333333	28	8.5	14.66666667	9.5	18.5	9	17.33333333
Synthesis of osmoregulated periplasmic glucans	38.5	28	18.33333333	16.16666667	38.5	23	22.64285714	33.14285714	8.333333333	14	19.66666667	32.1
T7-like phage core proteins	1.5	0	0	0	1.5	0	0	0	0	0	0	0
TCA Cycle	148.6960678	166.1516519	115.3849206	66.34924977	148.6960678	241.6	128.4297442	101.0349206	69.71666667	191.0051587	67.75061328	171.2825397
Tagatose utilization	1	4.666666667	1.833333333	1.333333333	1	0	2	2.666666667	1.333333333	2	4.833333333	1.833333333
Tannin biosynthesis	1	2	0.5	0	1	1	1	1	0.5	2	0	1.5
Taurine Utilization	6.5	12	8	3	6.5	2	7	10.5	2	4	5.545454545	3
Teichoic and lipoteichoic acids biosynthesis	130.6833333	81.16666667	117.7666667	91.16666667	130.6833333	156.9190476	102.6166667	85.95	63.6	115.2666667	85.08333333	156.15
Teichuronic acid biosynthesis	26.53333333	8.166666667	22.03333333	33.83333333	26.53333333	41.34285714	10.33333333	14.16666667	13.16666667	30.16666667	25.7	34.83333333
Tellurite resistance: Chromosomal determinants	1	4	4	1	1	0	3	7	0	0	2	5
TenI-like tautomerase	75.91785714	61.08333333	58.70654762	36.76313131	75.91785714	116.4178571	66.18596491	61.11666667	29.66666667	74.01785714	33.645671	68.89090909
Terminal cytochrome C oxidases	4	1.333333333	3	0.333333333	4	1.166666667	1	3.333333333	0	0.833333333	1	1
Terminal cytochrome O ubiquinol oxidase	0.0625	0.333333333	1	0.166666667	0.0625	0	0	0.333333333	0	0.333333333	0.285714286	0.4
Terminal cytochrome d ubiquinol oxidases	44	49.25	37.33333333	31.25	44	68.25	44.08333333	46.25	34.75	39.58333333	15.75	49
Terminal cytochrome oxidases	40.0625	45.58333333	31.33333333	31.41666667	40.0625	68.25	43.83333333	46.25	34.75	37.91666667	16.03571429	48.4
Test - DHFR	204.7099567	190.9	160.9714286	123.3123377	204.7099567	286.8333333	202.5935897	165.1456349	112.9242424	204.7833333	120.6797619	212.5666667
Test - Riboflavin	411.0833333	273.4595238	349.7833333	226.75	411.0833333	492.9	329.0095238	321.1	209.0095238	411.0166667	254.0428571	421.7928571
Test - Thiamin	169.2625472	148.5186508	155.8121392	102.1519231	169.2625472	237.9760281	156.428373	134.1904151	100.7525794	202.8575758	121.1579726	185.3988779
Test Pyridoxin B6	163.9954115	138.7456349	145.3803571	86.70311355	163.9954115	214.2625	134.8168651	124.9535104	83.50734127	152.7290043	84.24548872	144.0465219
Test Q	149.1333333	147.5166667	135.5416667	115.6428571	149.1333333	222.1083333	134.1666667	106.6928571	83.15	169.1416667	99.23712121	169.8333333
Tetrathionate respiration	2.5	0	0	0	2.5	1	0	0	0.5	0	0	0
The Chv regulatory system of Alphaproteobacteria	0	1	0	0	0	0.333333333	1	0	0	0.333333333	1	0
The fimbrial Sfm cluster	14	8	5	2	14	0	4	11	1	0	5.111111111	0.111111111
The fimbrial Stf cluster	16	3	3	3	16	0	0	0	0.166666667	0	10	0
The mdtABCD multidrug resistance cluster	7	36.66666667	20	5.666666667	7	0	8	39	0.666666667	12	9	9.666666667
The usher protein HtrE fimbrial cluster	4	1	0	13	4	0	0	1	0	0	10	0
ThiD ThiE fusions	25.38363997	18.36785714	19.94464286	14.80430403	25.38363997	31.42380952	25.18869048	19.81184371	7.250992063	27.18892496	15.05	32.66666667
Thiamin Copy RZ	90.84984876	80.93611111	78.26369048	53.63327228	90.84984876	131.0553571	88.89702381	81.76303419	49.3093254	103.2349567	60.61230159	90.31199813
Thiamin biosynthesis	176.8010642	155.0626984	147.2686869	134.122619	176.8010642	243.5285714	169.3730159	156.1420635	80.89642857	176.525	97.68575036	158.2396576
Thiamin biosynthesis LDP	80.90183289	62.88253968	73.18237734	55.0773199	80.90183289	105.6458333	77.63988095	66.922558	59.04662698	84.28257576	61.21670274	72.40125887
Thiamin biosynthesis in plants	0.1	1.558333333	0.6	0	0.1	0	0.458333333	0.111111111	0	0.125	0.225	0
Thioredoxin-disulfide reductase	49.98333333	36.46666667	46.93333333	41.7	49.98333333	80.65	46.41666667	42.73333333	29.63333333	56.26666667	32.28333333	43.18333333
Threonine anaerobic catabolism gene cluster	13.375	20.82619048	17.57619048	8.116666667	13.375	11.6	13.25	14.56666667	2.850490196	14	12.45656566	15.91111111
Threonine and Homoserine Biosynthesis	251.8972222	287.9333333	218.3392857	166.0952381	251.8972222	380.9833333	250.0190476	241.7178571	122.6223156	262.3928571	181.6261905	277.7928571
Threonine degradation	136.3666667	134.8666667	157.5	78.66666667	136.3666667	182.5833333	124.5833333	132.1666667	85.83333333	137.8333333	70.58333333	139.1666667
Threonylcarbamoyladenosine	18.90873016	19.27435897	18.64325397	8.839285714	18.90873016	28.65119048	17.34194139	17.74880952	13.45119048	20.52090965	12.10714286	15.775
Tn552	3	3.5	2.5	6.833333333	3	1	2	5.5	0	1.5	1.333333333	2.5
Tolerance to colicin E2	10	10	8	12	10	2	5	14	2	5	6	8
Ton and Tol transport systems	1299.794755	691.1659091	1503.743741	1525.327922	1299.794755	2105.273449	1200.197197	839.6237596	605.5633769	1672.389394	1236.598168	2298.201693
Toxin-antitoxin replicon stabilization systems	6	1	2	5	6	2	2	1	1	1	1	2
Toxin-antitoxin systems (other than RelBE and MazEF)	33.5	13	30.5	25	33.5	23.5	25.5	17.5	12	24.5	25	25
Trans-envelope signaling system VreARI in Pseudomonas	1	0	0	0	1	0	0	0	0	0	0	0
Trans-translation by stalled ribosomes	6	2.4	3.616666667	2.183333333	6	7.366666667	4.166666667	4.683333333	1.45	5.533333333	1.233333333	3.983333333
Transcription factors bacterial	341.1328505	283.3666667	273.0016234	179.4857143	341.1328505	441.502381	256.2678571	277.7769231	144.8384921	320.0619048	195.9149573	291.9111833
"Transcription initiation, bacterial sigma factors"	232.5833333	218.3333333	204.1666667	113.5	232.5833333	298.9166667	212.8333333	178.6666667	95.16666667	213.0833333	120.8333333	194.0833333
Translation elongation factor G family	172.1947192	135.65	170.5901876	105.1892857	172.1947192	259.4928571	157.1452381	150.8011905	101.4757937	156.5003968	117.3229418	143.1444444
Translation elongation factors bacterial	150.7034854	140.2801587	147.6957431	109.0170635	150.7034854	236.452381	146.2452381	127.1873016	68.27698413	179.1603175	107.2733386	171.7420996
Translation elongation factors eukaryotic and archaeal	0	0	3	0	0	0	0	0	0	0	3	2.5
Translation initiation factors bacterial	113.4599567	109.1666667	87.62063492	62.62778888	113.4599567	192.6345238	82.29285714	73.9952381	52.66666667	121.3761905	58.23333333	119.1944444
Translation termination factors bacterial	254.9166667	229.5666667	214.5333333	129.4333333	254.9166667	372.45	211.0833333	215.0444444	110.9833333	255.95	154.3166667	237.4833333
Transport of Iron	10.61666667	26.60119048	15.83333333	3.125	10.61666667	2.833333333	9.333333333	35.33333333	1	10.86666667	4	20.66666667
Transport of Manganese	19	18	22	13	19	15	17	20	2	20	15	19
Transport of Molybdenum	1.333333333	2	6	1.5	1.333333333	1	3	2.833333333	0	1.5	0	1
Transport of Nickel and Cobalt	40.33333333	29.66666667	62.5	24.66666667	40.33333333	44.83333333	57.66666667	58	13.33333333	31	43.33333333	46.5
Transport of Zinc	23.33333333	22	21.33333333	18	23.33333333	34	23	21.5	5	27	16.36111111	19
Transposase in enterics	8	3	7	4	8	0	0	7	0	0	3.045454545	6
Trehalose Biosynthesis	82.46350316	75.02777778	69.06432179	69.45768398	82.46350316	105.2333333	83.80238095	79.76709957	44.36785714	77.74404762	60.48630259	91.01507937
Trehalose Uptake and Utilization	64.55238095	61.225	52.56428571	48.06709957	64.55238095	56.14285714	64	66.95	41.825	52.85119048	41.05952381	59.27777778
Triacylglycerol metabolism	26.33333333	15.5	31	23.5	26.33333333	35.5	24.5	10.66666667	15.5	20.5	18.5	31.5
Tricarballylate Utilization	3	5	3	0	3	1	0	7	0	5	0	3
Tricarboxylate transport system	30	20.5	25	15.5	30	31.5	26.5	35	17.5	22.5	16.5	23.5
Tryptophan synthesis	208.5	164	168.5833333	124.3333333	208.5	306	185.5	182.3333333	112.5	208.8333333	147.1666667	212.5
Twin-arginine translocation system	6	10.5	6.5	5	6	23	10	8.5	3	11	6.5	10.33333333
Two cell division clusters relating to chromosome partitioning	246.8075758	211.4166667	201.4020202	133.1309524	246.8075758	329.1666667	237.5595238	211.9102564	131.75	225.8666667	165.2642247	234.8666667
